marketing_score,competition_index,customer_satisfaction,purchasing_power_index,store_traffic,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue,date,year,month,day,day_of_week,week_of_year,is_weekend,weather_condition_Bad,weather_condition_Good,5g_phase_Early-5G,5g_phase_Mature-5G,5g_phase_Mid-5G,5g_phase_Pre-5G,public_transport_Good,public_transport_Hub,public_transport_Poor
87.21,18.83,68.1,94.38,-0.24,75041.66,36694.94,21678.27,2019-03-04,2019,3,4,0,10,0,False,True,False,False,False,True,False,True,False
87.29,18.5,68.11,94.42,-0.78,70420.15,40776.69,18785.32,2019-03-05,2019,3,5,1,10,0,False,True,False,False,False,True,False,False,True
87.36,18.18,68.11,94.46,0.1,86621.93,34517.03,24250.03,2019-03-06,2019,3,6,2,10,0,False,True,False,False,False,True,False,True,False
87.44,17.89,68.11,94.5,0.58,84875.76,47858.99,24913.1,2019-03-07,2019,3,7,3,10,0,False,False,False,False,False,True,False,False,True
87.51,17.63,68.11,94.54,-0.32,101424.7,42934.95,19315.55,2019-03-08,2019,3,8,4,10,0,False,True,False,False,False,True,False,True,False
87.58,17.39,68.12,94.57,0.48,95157.87,41512.16,24610.1,2019-03-09,2019,3,9,5,10,1,False,False,False,False,False,True,False,True,False
87.65,17.19,68.12,94.6,-0.36,113797.68,38373.13,23049.465,2019-03-10,2019,3,10,6,10,1,False,False,False,False,False,True,False,False,True
87.71,17.01,68.12,94.64,-0.12,80692.22,36346.5,21488.83,2019-03-11,2019,3,11,0,11,0,False,True,False,False,False,True,False,True,False
87.78,16.87,68.12,94.67,0.19,70265.14,29276.22,20607.46,2019-03-12,2019,3,12,1,11,0,False,False,False,False,False,True,True,False,False
87.84,16.75,68.12,94.7,-0.76,76200.17,31349.176,20757.95,2019-03-13,2019,3,13,2,11,0,False,False,False,False,False,True,False,False,True
87.9,16.67,68.13,94.73,-0.32,77464.05,33422.132,21181.11,2019-03-14,2019,3,14,3,11,0,False,True,False,False,False,True,False,False,True
87.96,16.62,68.13,94.76,0.1,92262.88,35495.088,27081.85,2019-03-15,2019,3,15,4,11,0,False,True,False,False,False,True,False,False,True
88.01,16.61,68.13,94.78,0.9,84533.26,37568.044,29321.75,2019-03-16,2019,3,16,5,11,1,False,True,False,False,False,True,True,False,False
88.07,16.62,68.13,94.81,0.3,111223.71,39641.0,28721.77,2019-03-17,2019,3,17,6,11,1,False,True,False,False,False,True,False,True,False
88.12,16.67,68.13,94.83,0.71,92282.89,43284.75,24929.12,2019-03-18,2019,3,18,0,12,0,False,False,False,False,False,True,False,False,True
88.16,16.75,68.14,94.85,0.81,74371.18,35076.93,21782.08,2019-03-19,2019,3,19,1,12,0,False,False,False,False,False,True,False,True,False
88.21,16.87,68.14,94.87,0.6,73665.98,46116.8,24374.77,2019-03-20,2019,3,20,2,12,0,False,False,False,False,False,True,False,True,False
88.25,17.01,68.14,94.89,0.35,79964.04,38709.18,23702.19,2019-03-21,2019,3,21,3,12,0,False,False,False,False,False,True,False,False,True
88.3,17.19,68.14,94.91,-0.22,95669.32,33586.04,26651.48,2019-03-22,2019,3,22,4,12,0,False,False,False,False,False,True,False,False,True
88.34,17.39,68.15,94.92,0.84,100033.4,44073.59,31660.32,2019-03-23,2019,3,23,5,12,1,False,True,False,False,False,True,True,False,False
88.37,17.63,68.15,94.94,0.13,90851.52,50268.87,25544.3,2019-03-24,2019,3,24,6,12,1,False,True,False,False,False,True,True,False,False
88.41,17.89,68.15,94.95,0.28,81669.64,37871.28,26305.44,2019-03-25,2019,3,25,0,13,0,False,False,False,False,False,True,False,True,False
88.44,18.18,68.15,94.96,0.85,67555.65,37693.89,20850.52,2019-03-26,2019,3,26,1,13,0,False,True,False,False,False,True,True,False,False
88.47,18.5,68.15,94.97,-0.89,91417.59,42707.29,24112.86,2019-03-27,2019,3,27,2,13,0,False,True,False,False,False,True,False,True,False
88.5,18.83,68.16,94.98,0.26,99070.83,42084.53,24939.66,2019-03-28,2019,3,28,3,13,0,False,True,False,False,False,True,False,True,False
88.52,19.19,68.16,94.99,0.04,81166.82,46810.43,25215.63,2019-03-29,2019,3,29,4,13,0,False,False,False,False,False,True,False,True,False
88.55,19.57,68.16,94.99,-0.01,106521.92,46093.06,27853.42,2019-03-30,2019,3,30,5,13,1,False,True,False,False,False,True,True,False,False
88.57,19.97,68.16,95.0,0.89,92207.22,46245.82,26051.25,2019-03-31,2019,3,31,6,13,1,False,True,False,False,False,True,False,True,False
88.58,20.38,68.17,95.0,-0.05,70554.15,38664.67,21625.35,2019-04-01,2019,4,1,0,14,0,False,True,False,False,False,True,False,True,False
88.6,20.81,68.17,95.0,0.0,83248.56,38575.18,24039.22,2019-04-02,2019,4,2,1,14,0,False,False,False,False,False,True,False,True,False
88.61,21.25,68.17,95.0,0.21,90771.21,45970.81,21950.36,2019-04-03,2019,4,3,2,14,0,False,True,False,False,False,True,False,True,False
88.62,21.71,68.17,95.0,-0.67,75158.82,41193.23,25960.54,2019-04-04,2019,4,4,3,14,0,False,False,False,False,False,True,False,True,False
88.63,22.17,68.17,94.99,0.02,75236.19,45608.85,25562.88,2019-04-05,2019,4,5,4,14,0,False,True,False,False,False,True,False,True,False
88.64,22.63,68.18,94.99,0.58,87500.65,50762.78,28048.01,2019-04-06,2019,4,6,5,14,1,False,True,False,False,False,True,True,False,False
88.64,23.1,68.18,94.98,0.19,99976.26,50303.18,28836.44,2019-04-07,2019,4,7,6,14,1,False,True,False,False,False,True,False,True,False
88.65,23.57,68.18,94.98,-0.12,82933.37,47669.03,22581.88,2019-04-08,2019,4,8,0,15,0,False,True,False,False,False,True,False,False,False
88.64,24.04,68.18,94.97,-0.05,75940.71,37642.02,23523.5,2019-04-09,2019,4,9,1,15,0,False,False,False,False,False,True,True,False,False
88.64,24.5,68.19,94.96,-0.24,83872.92,40180.45,26559.87,2019-04-10,2019,4,10,2,15,0,False,False,False,False,False,True,False,True,False
88.64,24.96,68.19,94.94,-0.09,88571.025,48157.49,21546.14,2019-04-11,2019,4,11,3,15,0,False,True,False,False,False,True,False,True,False
88.63,25.41,68.19,94.93,0.39,93269.13,42053.77,25804.09,2019-04-12,2019,4,12,4,15,0,False,True,False,False,False,True,False,False,False
88.62,25.85,68.19,94.91,0.34,94189.4,40923.5,19986.71,2019-04-13,2019,4,13,5,15,1,False,False,False,False,False,True,False,True,False
88.61,26.28,68.19,94.9,-0.6,95065.52,53479.71,34843.93,2019-04-14,2019,4,14,6,15,1,False,True,False,False,False,True,False,True,False
88.59,26.7,68.2,94.88,0.46,68591.12,36185.23,22244.43,2019-04-15,2019,4,15,0,16,0,False,True,False,False,False,True,False,False,True
88.57,27.09,68.2,94.86,0.23,86404.48,42218.52,24176.97,2019-04-16,2019,4,16,1,16,0,False,True,False,False,False,True,False,True,False
88.55,27.47,68.2,94.84,-0.53,80265.47,38258.73,21426.86,2019-04-17,2019,4,17,2,16,0,False,False,False,False,False,True,True,False,False
88.53,27.83,68.2,94.815,0.43,97450.52,37920.2,24509.46,2019-04-18,2019,4,18,3,16,0,False,True,False,False,False,True,False,True,False
88.51,28.17,68.2,94.79,0.21,84917.46,36022.14,25814.11,2019-04-19,2019,4,19,4,16,0,False,True,False,False,False,True,False,True,False
88.48,28.49,68.21,94.77,-0.03,97266.25,51402.6,21718.29,2019-04-20,2019,4,20,5,16,1,False,True,False,False,False,True,False,True,False
88.45,28.77,68.21,94.74,0.63,88054.59,41658.58,28130.88,2019-04-21,2019,4,21,6,16,1,False,True,False,False,False,True,False,True,False
88.42,29.04,68.21,94.71,-0.16,81743.31,36872.19,27543.26,2019-04-22,2019,4,22,0,17,0,False,True,False,False,False,True,False,False,False
88.39,29.27,68.21,94.68,-0.08,85709.69,41393.65,20549.86,2019-04-23,2019,4,23,1,17,0,False,True,False,False,False,True,False,True,False
88.35,29.48,68.22,94.65,0.2449999999999999,84030.7,38136.81,20278.42,2019-04-24,2019,4,24,2,17,0,False,False,False,False,False,True,True,False,False
88.32,29.65,68.22,94.62,0.57,96985.56,45757.81,25346.86,2019-04-25,2019,4,25,3,17,0,False,True,False,False,False,True,False,True,False
88.28,29.8,68.22,94.59,0.38,83997.78,46686.81,23017.82,2019-04-26,2019,4,26,4,17,0,False,False,False,False,False,True,False,False,True
88.23,29.91,68.22,94.55,-0.39,88922.64,50773.6,21055.97,2019-04-27,2019,4,27,5,17,1,False,True,False,False,False,True,False,True,False
88.19,29.99,68.22,94.52,0.04,90728.99,28984.44,28451.45,2019-04-28,2019,4,28,6,17,1,False,False,False,False,False,True,False,False,False
88.14,30.04,68.23,94.48,0.37,83307.2,22349.3,19360.75,2019-04-29,2019,4,29,0,18,0,False,False,False,False,False,True,False,True,False
88.09,30.06,68.23,94.44,-0.11,75920.84,21603.67,19965.63,2019-04-30,2019,4,30,1,18,0,False,True,False,False,False,True,False,True,False
88.04,30.04,68.23,94.4,0.0,86890.11,25960.28,21698.36,2019-05-01,2019,5,1,2,18,0,False,True,False,False,False,True,True,False,False
87.99,29.99,68.23,94.36,-0.18,79671.29,39125.77,20794.63,2019-05-02,2019,5,2,3,18,0,False,True,False,False,False,True,False,False,False
87.93,29.91,68.24,94.32,0.27,82981.17,37349.69,24697.09,2019-05-03,2019,5,3,4,18,0,False,False,False,False,False,True,False,False,False
87.88,29.8,68.24,94.27,0.66,99290.96,42496.32,26319.18,2019-05-04,2019,5,4,5,18,1,False,True,False,False,False,True,False,True,False
87.82,29.65,68.24,94.23,0.72,92061.01,56113.24,28249.39,2019-05-05,2019,5,5,6,18,1,False,True,False,False,False,True,False,True,False
87.76,29.48,68.24,94.18,0.69,71739.81,41514.4,25421.735,2019-05-06,2019,5,6,0,19,0,False,True,False,False,False,True,False,False,True
87.69,29.27,68.24,94.13,-0.17,74721.77,34487.08,22594.08,2019-05-07,2019,5,7,1,19,0,False,False,False,False,False,True,False,False,True
87.63,29.04,68.25,94.08,0.47,90023.69,40278.35,18567.69,2019-05-08,2019,5,8,2,19,0,False,True,False,False,False,True,False,False,False
87.56,28.77,68.25,94.03,-0.55,67844.16,37221.56,22736.89,2019-05-09,2019,5,9,3,19,0,False,True,False,False,False,True,True,False,False
87.49,28.49,68.25,93.98,0.21,73438.22,47841.65,22552.72,2019-05-10,2019,5,10,4,19,0,False,True,False,False,False,True,True,False,False
87.42,28.17,68.25,93.93,0.54,84185.31,49193.7,27955.77,2019-05-11,2019,5,11,5,19,1,False,False,False,False,False,True,True,False,False
87.35,27.83,68.26,93.87,-1.05,93812.22,38656.73,25795.72,2019-05-12,2019,5,12,6,19,1,False,True,False,False,False,True,False,True,False
87.27,27.47,68.26,93.82,-0.13,80941.87,32836.39,18398.41,2019-05-13,2019,5,13,0,20,0,False,False,False,False,False,True,False,False,True
87.19,27.09,68.26,93.76,-0.28,58221.5,35035.12,18224.83,2019-05-14,2019,5,14,1,20,0,False,False,False,False,False,True,True,False,False
87.11,26.7,68.26,93.71,1.02,67092.31,42176.2,23808.75,2019-05-15,2019,5,15,2,20,0,False,True,False,False,False,True,False,True,False
87.03,26.28,68.26,93.65,0.63,75302.52,34520.86,20953.6,2019-05-16,2019,5,16,3,20,0,False,True,False,False,False,True,False,True,False
86.95,25.85,68.27,93.59,0.93,97482.28,45831.42,26342.4,2019-05-17,2019,5,17,4,20,0,False,True,False,False,False,True,False,False,True
86.87,25.41,68.27,93.53,0.94,102432.15,44384.58,23448.7,2019-05-18,2019,5,18,5,20,1,False,False,False,False,False,True,False,False,False
86.78,24.96,68.27,93.47,-0.56,93183.13,43108.14,26499.58,2019-05-19,2019,5,19,6,20,1,False,True,False,False,False,True,False,True,False
86.69,24.5,68.27,93.4,0.32,60914.32,35522.63,18091.7,2019-05-20,2019,5,20,0,21,0,False,False,False,False,False,True,False,True,False
86.6,24.04,68.28,93.34,0.25,83191.03,40753.79,18182.38,2019-05-21,2019,5,21,1,21,0,False,True,False,False,False,True,False,False,True
86.51,23.57,68.28,93.28,-0.08,71026.35,31420.99,22103.78,2019-05-22,2019,5,22,2,21,0,False,False,False,False,False,True,False,True,False
86.42,23.1,68.28,93.21,1.36,89900.49,36781.21,24273.81,2019-05-23,2019,5,23,3,21,0,False,False,False,False,False,True,False,True,False
86.32,22.63,68.28,93.14,-0.72,75173.36,36704.27,18336.89,2019-05-24,2019,5,24,4,21,0,False,True,False,False,False,True,False,True,False
86.23,22.17,68.28,93.08,-0.43,100891.71,51653.24,29769.39,2019-05-25,2019,5,25,5,21,1,False,True,False,False,False,True,False,False,True
86.13,21.71,68.29,93.01,-0.01,87282.21,46899.07,26460.32,2019-05-26,2019,5,26,6,21,1,False,True,False,False,False,True,False,False,True
86.03,21.25,68.29,92.94,0.12,60299.19,31070.55,18202.11,2019-05-27,2019,5,27,0,22,0,False,False,False,False,False,True,False,True,False
85.93,20.81,68.29,92.87,0.78,68620.69,31802.09,16979.19,2019-05-28,2019,5,28,1,22,0,False,True,False,False,False,True,False,False,True
85.83,20.38,68.29,92.8,-0.23,84988.03,34810.44,25489.85,2019-05-29,2019,5,29,2,22,0,False,True,False,False,False,True,False,False,True
85.72,19.97,68.29,92.73,-0.11,61564.73,31951.24,20543.62,2019-05-30,2019,5,30,3,22,0,False,True,False,False,False,True,False,True,False
85.62,19.57,68.3,92.65,-0.38,73836.4,34713.79,22263.86,2019-05-31,2019,5,31,4,22,0,False,True,False,False,False,True,True,False,False
85.51,19.19,68.3,92.58,0.23,105660.1,43310.61,25577.29,2019-06-01,2019,6,1,5,22,1,False,True,False,False,False,True,False,False,True
85.4,18.83,68.3,92.51,0.88,106402.42,39282.01,30349.99,2019-06-02,2019,6,2,6,22,1,False,True,False,False,False,True,False,True,False
85.3,18.5,68.3,92.43,0.04,73351.0,32315.77,21360.73,2019-06-03,2019,6,3,0,23,0,False,False,False,False,False,True,False,True,False
85.19,18.18,68.31,92.36,0.12,83821.2,35169.19,18383.31,2019-06-04,2019,6,4,1,23,0,False,True,False,False,False,True,False,False,True
85.07,17.89,68.31,92.28,0.49,96792.75,45666.87,21270.35,2019-06-05,2019,6,5,2,23,0,False,True,False,False,False,True,False,True,False
84.96,17.63,68.31,92.2,0.29,92308.86,49090.41,23290.4,2019-06-06,2019,6,6,3,23,0,False,True,False,False,False,True,True,False,False
84.85,17.39,68.31,92.13,-0.02,88980.08,45097.96,17306.03,2019-06-07,2019,6,7,4,23,0,False,True,False,False,False,True,False,False,True
84.73,17.19,68.31,92.05,0.71,75269.59,36381.255,31627.49,2019-06-08,2019,6,8,5,23,1,False,True,False,False,False,True,False,True,False
84.62,17.01,68.32,91.97,-0.27,76765.44,27664.55,28080.59,2019-06-09,2019,6,9,6,23,1,False,True,False,False,False,True,False,True,False
84.5,16.87,68.32,91.89,0.85,78261.29,40538.88,24502.39,2019-06-10,2019,6,10,0,24,0,False,True,False,False,False,True,False,False,True
84.38,16.75,68.32,91.81,-0.31,76273.01,37489.17,21502.59,2019-06-11,2019,6,11,1,24,0,False,True,False,False,False,True,False,True,False
84.26,16.67,68.32,91.73,0.32,87299.49,36684.56,21845.22,2019-06-12,2019,6,12,2,24,0,False,True,False,False,False,True,True,False,False
84.14,16.62,68.33,91.65,1.03,77136.71,37589.69,22334.78,2019-06-13,2019,6,13,3,24,0,False,True,False,False,False,True,True,False,False
84.02,16.61,68.33,91.57,-0.4,89237.96,40871.88,20942.02,2019-06-14,2019,6,14,4,24,0,False,True,False,False,False,True,True,False,False
83.9,16.62,68.33,91.48,0.59,93931.59,42624.39,23949.77,2019-06-15,2019,6,15,5,24,1,False,True,False,False,False,True,True,False,False
83.78,16.67,68.33,91.4,0.22,89437.94,46097.58,30006.73,2019-06-16,2019,6,16,6,24,1,False,True,False,False,False,True,True,False,False
83.65,16.75,68.33,91.32,1.04,61686.04,36043.82,20302.4,2019-06-17,2019,6,17,0,25,0,False,False,False,False,False,True,True,False,False
83.53,16.87,68.34,91.24,-0.53,59838.94,35777.98,16657.79,2019-06-18,2019,6,18,1,25,0,False,True,False,False,False,True,False,True,False
83.4,17.01,68.34,91.15,0.59,75731.15,44732.24,22986.88,2019-06-19,2019,6,19,2,25,0,False,True,False,False,False,True,False,False,False
83.28,17.200000000000003,68.34,91.07,-0.29,73042.43,36041.45,20606.37,2019-06-20,2019,6,20,3,25,0,False,True,False,False,False,True,False,False,True
83.15,17.39,68.345,90.98,0.57,75639.81,42295.28,22048.25,2019-06-21,2019,6,21,4,25,0,False,True,False,False,False,True,False,False,True
83.03,17.63,68.35,90.9,1.31,89340.6,39622.34333333333,24441.15,2019-06-22,2019,6,22,5,25,1,False,True,False,False,False,True,False,False,True
82.9,17.89,68.35,90.81,0.435,81095.45000000001,36949.40666666667,25300.27,2019-06-23,2019,6,23,6,25,1,False,True,False,False,False,True,False,False,True
82.77,18.18,68.35,90.73,-0.44,72850.3,34276.47,21346.14,2019-06-24,2019,6,24,0,26,0,False,True,False,False,False,True,True,False,False
82.64,18.5,68.35,90.64,0.21,59792.91,29369.09,16027.34,2019-06-25,2019,6,25,1,26,0,False,True,False,False,False,True,False,False,False
82.515,18.83,68.35,90.56,0.24,65354.49,33416.12,18906.6,2019-06-26,2019,6,26,2,26,0,False,False,False,False,False,True,False,True,False
82.39,19.19,68.36,90.47,1.69,70624.12,33989.39,19078.87,2019-06-27,2019,6,27,3,26,0,False,True,False,False,False,True,False,False,True
82.26,19.57,68.36,90.39,0.19,73323.78,37024.48,22638.74,2019-06-28,2019,6,28,4,26,0,False,True,False,False,False,True,False,True,False
82.13,19.97,68.36,90.3,-0.04,80379.73,39784.05,20645.0,2019-06-29,2019,6,29,5,26,1,False,True,False,False,False,True,False,True,False
82.0,20.38,68.36,90.22,-0.58,76902.92,33833.83,20792.21,2019-06-30,2019,6,30,6,26,1,False,True,False,False,False,True,False,True,False
81.87,20.81,68.36,90.13,-0.21,64620.52,30548.58,16530.69,2019-07-01,2019,7,1,0,27,0,False,True,False,False,False,True,False,False,True
81.74,21.25,68.37,90.04,0.5,68682.5,27422.16,16943.6,2019-07-02,2019,7,2,1,27,0,False,True,False,False,False,True,False,True,False
81.61,21.71,68.37,89.96,-0.35,70583.76,25858.97,17773.6,2019-07-03,2019,7,3,2,27,0,False,True,False,False,False,True,False,True,False
81.48,22.17,68.37,89.87,0.15,59784.3,28886.54,20756.66,2019-07-04,2019,7,4,3,27,0,False,True,False,False,False,True,False,False,True
