marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,tech_event,5g_phase,store_traffic,public_transport,city,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue,date
88.52,19.19,68.16,94.99,Moderate,,Pre-5G,0.04,Hub,Marseille,81166.82,46810.43,25215.63,2019-03-29
88.55,19.57,68.16,94.99,Good,,Pre-5G,-0.01,Good,Marseille,106521.92,46093.06,27853.42,2019-03-30
88.57,19.97,68.16,95.0,Good,,Pre-5G,0.89,Hub,Marseille,92207.22,46245.82,26051.25,2019-03-31
88.58,20.38,68.17,95.0,Good,,Pre-5G,-0.05,Hub,Marseille,70554.15,38664.67,21625.35,2019-04-01
88.6,20.81,68.17,95.0,Moderate,,Pre-5G,0.0,Hub,Marseille,83248.56,38575.18,24039.22,2019-04-02
88.61,21.25,68.17,95.0,Good,,Pre-5G,0.21,Hub,Marseille,90771.21,45970.81,21950.36,2019-04-03
88.62,21.71,68.17,95.0,Moderate,,Pre-5G,-0.67,Hub,Marseille,75158.82,41193.23,25960.54,2019-04-04
88.63,22.17,68.17,94.99,Good,,Pre-5G,0.02,Hub,Marseille,75236.19,45608.85,25562.88,2019-04-05
88.64,22.63,68.18,94.99,Good,,Pre-5G,0.58,Good,Marseille,87500.65,50762.78,28048.01,2019-04-06
88.64,23.1,68.18,94.98,Good,,Pre-5G,0.19,Hub,Marseille,99976.26,50303.18,28836.44,2019-04-07
88.65,23.57,68.18,94.98,Good,,Pre-5G,-0.12,Limited,Marseille,82933.37,47669.03,22581.88,2019-04-08
88.64,24.04,68.18,94.97,Moderate,,Pre-5G,-0.05,Good,Marseille,75940.71,37642.02,23523.5,2019-04-09
88.64,24.5,68.19,94.96,Moderate,,Pre-5G,-0.24,Hub,Marseille,83872.92,40180.45,26559.87,2019-04-10
88.64,24.96,68.19,94.94,Good,,Pre-5G,-0.09,Hub,Marseille,88571.025,48157.49,21546.14,2019-04-11
88.63,25.41,68.19,94.93,Good,,Pre-5G,0.39,Limited,Marseille,93269.13,42053.77,25804.09,2019-04-12
88.62,25.85,68.19,94.91,Moderate,,Pre-5G,0.34,Hub,Marseille,94189.4,40923.5,19986.71,2019-04-13
88.61,26.28,68.19,94.9,Good,,Pre-5G,-0.6,Hub,Marseille,95065.52,53479.71,34843.93,2019-04-14
88.59,26.7,68.2,94.88,Good,,Pre-5G,0.46,Poor,Marseille,68591.12,36185.23,22244.43,2019-04-15
88.57,27.09,68.2,94.86,Good,,Pre-5G,0.23,Hub,Marseille,86404.48,42218.52,24176.97,2019-04-16
88.55,27.47,68.2,94.84,Moderate,,Pre-5G,-0.53,Good,Marseille,80265.47,38258.73,21426.86,2019-04-17
88.53,27.83,68.2,94.815,Good,,Pre-5G,0.43,Hub,Marseille,97450.52,37920.2,24509.46,2019-04-18
88.51,28.17,68.2,94.79,Good,,Pre-5G,0.21,Hub,Marseille,84917.46,36022.14,25814.11,2019-04-19
88.48,28.49,68.21,94.77,Good,,Pre-5G,-0.03,Hub,Marseille,97266.25,51402.6,21718.29,2019-04-20
88.45,28.77,68.21,94.74,Good,,Pre-5G,0.63,Hub,Marseille,88054.59,41658.58,28130.88,2019-04-21
88.42,29.04,68.21,94.71,Good,,Pre-5G,-0.16,Limited,Marseille,81743.31,36872.19,27543.26,2019-04-22
88.39,29.27,68.21,94.68,Good,,Pre-5G,-0.08,Hub,Marseille,85709.69,41393.65,20549.86,2019-04-23
88.35,29.48,68.22,94.65,Moderate,,Pre-5G,0.24499999999999994,Good,Marseille,84030.7,38136.81,20278.42,2019-04-24
88.32,29.65,68.22,94.62,Good,,Pre-5G,0.57,Hub,Marseille,96985.56,45757.81,25346.86,2019-04-25
88.28,29.8,68.22,94.59,Moderate,,Pre-5G,0.38,Poor,Marseille,83997.78,46686.81,23017.82,2019-04-26
88.23,29.91,68.22,94.55,Good,,Pre-5G,-0.39,Hub,Marseille,88922.64,50773.6,21055.97,2019-04-27
88.19,29.99,68.22,94.52,Moderate,,Pre-5G,0.04,Limited,Marseille,90728.99,28984.44,28451.45,2019-04-28
88.14,30.04,68.23,94.48,Moderate,,Pre-5G,0.37,Hub,Marseille,83307.2,22349.3,19360.75,2019-04-29
88.09,30.06,68.23,94.44,Good,,Pre-5G,-0.11,Hub,Marseille,75920.84,21603.67,19965.63,2019-04-30
88.04,30.04,68.23,94.4,Good,,Pre-5G,0.0,Good,Marseille,86890.11,25960.28,21698.36,2019-05-01
87.99,29.99,68.23,94.36,Good,,Pre-5G,-0.18,Limited,Marseille,79671.29,39125.77,20794.63,2019-05-02
87.93,29.91,68.24,94.32,Moderate,,Pre-5G,0.27,Limited,Marseille,82981.17,37349.69,24697.09,2019-05-03
87.88,29.8,68.24,94.27,Good,,Pre-5G,0.66,Hub,Marseille,99290.96,42496.32,26319.18,2019-05-04
87.82,29.65,68.24,94.23,Good,,Pre-5G,0.72,Hub,Marseille,92061.01,56113.24,28249.39,2019-05-05
87.76,29.48,68.24,94.18,Good,,Pre-5G,0.69,Poor,Marseille,71739.81,41514.4,25421.735,2019-05-06
87.69,29.27,68.24,94.13,Moderate,,Pre-5G,-0.17,Poor,Marseille,74721.77,34487.08,22594.08,2019-05-07
87.63,29.04,68.25,94.08,Good,,Pre-5G,0.47,Limited,Marseille,90023.69,40278.35,18567.69,2019-05-08
87.56,28.77,68.25,94.03,Good,,Pre-5G,-0.55,Good,Marseille,67844.16,37221.56,22736.89,2019-05-09
87.49,28.49,68.25,93.98,Good,,Pre-5G,0.21,Good,Marseille,73438.22,47841.65,22552.72,2019-05-10
87.42,28.17,68.25,93.93,Moderate,,Pre-5G,0.54,Good,Marseille,84185.31,49193.7,27955.77,2019-05-11
87.35,27.83,68.26,93.87,Good,,Pre-5G,-1.05,Hub,Marseille,93812.22,38656.73,25795.72,2019-05-12
87.27,27.47,68.26,93.82,Moderate,,Pre-5G,-0.13,Poor,Marseille,80941.87,32836.39,18398.41,2019-05-13
87.19,27.09,68.26,93.76,Moderate,,Pre-5G,-0.28,Good,Marseille,58221.5,35035.12,18224.83,2019-05-14
87.11,26.7,68.26,93.71,Good,,Pre-5G,1.02,Hub,Marseille,67092.31,42176.2,23808.75,2019-05-15
87.03,26.28,68.26,93.65,Good,,Pre-5G,0.63,Hub,Marseille,75302.52,34520.86,20953.6,2019-05-16
86.95,25.85,68.27,93.59,Good,,Pre-5G,0.93,Poor,Marseille,97482.28,45831.42,26342.4,2019-05-17
86.87,25.41,68.27,93.53,Moderate,,Pre-5G,0.94,Limited,Marseille,102432.15,44384.58,23448.7,2019-05-18
86.78,24.96,68.27,93.47,Good,,Pre-5G,-0.56,Hub,Marseille,93183.13,43108.14,26499.58,2019-05-19
86.69,24.5,68.27,93.4,Moderate,,Pre-5G,0.32,Hub,Marseille,60914.32,35522.63,18091.7,2019-05-20
86.6,24.04,68.28,93.34,Good,,Pre-5G,0.25,Poor,Marseille,83191.03,40753.79,18182.38,2019-05-21
86.51,23.57,68.28,93.28,Moderate,,Pre-5G,-0.08,Hub,Marseille,71026.35,31420.99,22103.78,2019-05-22
86.42,23.1,68.28,93.21,Moderate,,Pre-5G,1.36,Hub,Marseille,89900.49,36781.21,24273.81,2019-05-23
86.32,22.63,68.28,93.14,Good,,Pre-5G,-0.72,Hub,Marseille,75173.36,36704.27,18336.89,2019-05-24
86.23,22.17,68.28,93.08,Good,,Pre-5G,-0.43,Poor,Marseille,100891.71,51653.24,29769.39,2019-05-25
86.13,21.71,68.29,93.01,Good,,Pre-5G,-0.01,Poor,Marseille,87282.21,46899.07,26460.32,2019-05-26
86.03,21.25,68.29,92.94,Moderate,,Pre-5G,0.12,Hub,Marseille,60299.19,31070.55,18202.11,2019-05-27
85.93,20.81,68.29,92.87,Good,,Pre-5G,0.78,Poor,Marseille,68620.69,31802.09,16979.19,2019-05-28
85.83,20.38,68.29,92.8,Good,,Pre-5G,-0.23,Poor,Marseille,84988.03,34810.44,25489.85,2019-05-29
85.72,19.97,68.29,92.73,Good,,Pre-5G,-0.11,Hub,Marseille,61564.73,31951.24,20543.62,2019-05-30
85.62,19.57,68.3,92.65,Good,,Pre-5G,-0.38,Good,Marseille,73836.4,34713.79,22263.86,2019-05-31
85.51,19.19,68.3,92.58,Good,,Pre-5G,0.23,Poor,Marseille,105660.1,43310.61,25577.29,2019-06-01
85.4,18.83,68.3,92.51,Good,,Pre-5G,0.88,Hub,Marseille,106402.42,39282.01,30349.99,2019-06-02
85.3,18.5,68.3,92.43,Moderate,,Pre-5G,0.04,Hub,Marseille,73351.0,32315.77,21360.73,2019-06-03
85.19,18.18,68.31,92.36,Good,,Pre-5G,0.12,Poor,Marseille,83821.2,35169.19,18383.31,2019-06-04
85.07,17.89,68.31,92.28,Good,,Pre-5G,0.49,Hub,Marseille,96792.75,45666.87,21270.35,2019-06-05
84.96,17.63,68.31,92.2,Good,,Pre-5G,0.29,Good,Marseille,92308.86,49090.41,23290.4,2019-06-06
84.85,17.39,68.31,92.13,Good,,Pre-5G,-0.02,Poor,Marseille,88980.08,45097.96,17306.03,2019-06-07
84.73,17.19,68.31,92.05,Good,,Pre-5G,0.71,Hub,Marseille,75269.59,36381.255,31627.49,2019-06-08
84.62,17.01,68.32,91.97,Good,,Pre-5G,-0.27,Hub,Marseille,76765.44,27664.55,28080.59,2019-06-09
84.5,16.87,68.32,91.89,Good,,Pre-5G,0.85,Poor,Marseille,78261.29,40538.88,24502.39,2019-06-10
84.38,16.75,68.32,91.81,Good,,Pre-5G,-0.31,Hub,Marseille,76273.01,37489.17,21502.59,2019-06-11
84.26,16.67,68.32,91.73,Good,,Pre-5G,0.32,Good,Marseille,87299.49,36684.56,21845.22,2019-06-12
84.14,16.62,68.33,91.65,Good,,Pre-5G,1.03,Good,Marseille,77136.71,37589.69,22334.78,2019-06-13
84.02,16.61,68.33,91.57,Good,,Pre-5G,-0.4,Good,Marseille,89237.96,40871.88,20942.02,2019-06-14
83.9,16.62,68.33,91.48,Good,,Pre-5G,0.59,Good,Marseille,93931.59,42624.39,23949.77,2019-06-15
83.78,16.67,68.33,91.4,Good,,Pre-5G,0.22,Good,Marseille,89437.94,46097.58,30006.73,2019-06-16
83.65,16.75,68.33,91.32,Moderate,,Pre-5G,1.04,Good,Marseille,61686.04,36043.82,20302.4,2019-06-17
83.53,16.87,68.34,91.24,Good,,Pre-5G,-0.53,Hub,Marseille,59838.94,35777.98,16657.79,2019-06-18
83.4,17.01,68.34,91.15,Good,,Pre-5G,0.59,Limited,Marseille,75731.15,44732.24,22986.88,2019-06-19
83.28,17.200000000000003,68.34,91.07,Good,,Pre-5G,-0.29,Poor,Marseille,73042.43,36041.45,20606.37,2019-06-20
83.15,17.39,68.345,90.98,Good,,Pre-5G,0.57,Poor,Marseille,75639.81,42295.28,22048.25,2019-06-21
83.03,17.63,68.35,90.9,Good,,Pre-5G,1.31,Poor,Marseille,89340.6,39622.34333333333,24441.15,2019-06-22
82.9,17.89,68.35,90.81,Good,,Pre-5G,0.43500000000000005,Poor,Marseille,81095.45000000001,36949.40666666667,25300.27,2019-06-23
82.77,18.18,68.35,90.73,Good,,Pre-5G,-0.44,Good,Marseille,72850.3,34276.47,21346.14,2019-06-24
82.64,18.5,68.35,90.64,Good,,Pre-5G,0.21,Limited,Marseille,59792.91,29369.09,16027.34,2019-06-25
82.515,18.83,68.35,90.56,Moderate,,Pre-5G,0.24,Hub,Marseille,65354.49,33416.12,18906.6,2019-06-26
82.39,19.19,68.36,90.47,Good,,Pre-5G,1.69,Poor,Marseille,70624.12,33989.39,19078.87,2019-06-27
82.26,19.57,68.36,90.39,Good,,Pre-5G,0.19,Hub,Marseille,73323.78,37024.48,22638.74,2019-06-28
82.13,19.97,68.36,90.3,Good,,Pre-5G,-0.04,Hub,Marseille,80379.73,39784.05,20645.0,2019-06-29
82.0,20.38,68.36,90.22,Good,,Pre-5G,-0.58,Hub,Marseille,76902.92,33833.83,20792.21,2019-06-30
81.87,20.81,68.36,90.13,Good,,Pre-5G,-0.21,Poor,Marseille,64620.52,30548.58,16530.69,2019-07-01
81.74,21.25,68.37,90.04,Good,,Pre-5G,0.5,Hub,Marseille,68682.5,27422.16,16943.6,2019-07-02
81.61,21.71,68.37,89.96,Good,,Pre-5G,-0.35,Hub,Marseille,70583.76,25858.97,17773.6,2019-07-03
81.48,22.17,68.37,89.87,Good,,Pre-5G,0.15,Poor,Marseille,59784.3,28886.54,20756.66,2019-07-04
81.35,22.63,68.37,89.78,Good,,Pre-5G,0.54,Hub,Marseille,67739.03,33997.73,18006.54,2019-07-05
81.21,23.1,68.38,89.7,Moderate,,Pre-5G,0.28,Poor,Marseille,74178.54,31410.99,20381.43,2019-07-06
81.08,23.57,68.38,89.61,Good,,Pre-5G,0.82,Good,Marseille,77329.01,40460.52,19761.46,2019-07-07
80.95,24.04,68.38,89.53,Good,,Pre-5G,1.05,Hub,Marseille,49481.38,33331.91,15534.26,2019-07-08
80.82,24.5,68.38,89.44,Good,,Pre-5G,0.45,Hub,Marseille,53825.08,29636.45,14959.48,2019-07-09
80.69,24.96,68.38,89.36,Good,,Pre-5G,-0.01,Poor,Marseille,63008.21,29238.82,14992.51,2019-07-10
80.56,25.41,68.39,89.27,Good,,Pre-5G,0.05,Hub,Marseille,67327.2,32134.29,16927.28,2019-07-11
80.43,25.85,68.39,89.19,Moderate,,Pre-5G,-0.7,Good,Marseille,60229.89,30567.58,17401.07,2019-07-12
80.3,26.28,68.39,89.1,Good,,Pre-5G,-0.5,Good,Marseille,70774.86,45008.25,20397.25,2019-07-13
80.17,26.7,68.39,89.015,Good,,Pre-5G,0.59,Poor,Marseille,71462.49,40870.15,18623.31,2019-07-14
80.05,27.09,68.4,88.93,Good,,Pre-5G,0.7749999999999999,Hub,Marseille,41799.38,21868.94,13519.39,2019-07-15
79.92,27.47,68.4,88.85,Good,,Pre-5G,0.96,Hub,Marseille,48865.8,26600.93,12940.56,2019-07-16
79.79,27.83,68.4,88.76,Good,,Pre-5G,0.41,Hub,Marseille,53765.26,30695.03,13598.31,2019-07-17
79.66,28.17,68.4,88.68,Good,,Pre-5G,-0.5,Hub,Marseille,58735.18,24824.27,13065.5,2019-07-18
79.53,28.49,68.4,88.6,Good,,Pre-5G,-0.14,Hub,Marseille,57887.75,45241.61,17065.52,2019-07-19
79.41,28.77,68.41,88.52,Good,,Pre-5G,0.69,Hub,Marseille,59289.31,48652.13,18745.04,2019-07-20
79.28,29.04,68.41,88.43,Good,,Pre-5G,-0.06,Good,Marseille,70132.02,26748.64,16925.51,2019-07-21
79.16,29.27,68.41,88.35,Good,,Pre-5G,-0.23,Good,Marseille,39028.87,22690.03,12912.47,2019-07-22
79.03,29.48,68.41,88.27,Moderate,,Pre-5G,-0.44,Hub,Marseille,41283.39,20971.379999999997,10487.33,2019-07-23
78.91,29.65,68.42,88.19,Good,,Pre-5G,-0.34,Good,Marseille,52287.86,19252.73,14377.4,2019-07-24
78.78,29.8,68.42,88.11,Moderate,,Pre-5G,-0.14,Hub,Marseille,45204.98,25567.16,12409.47,2019-07-25
78.66,29.91,68.42,88.03,Good,,Pre-5G,-0.56,Poor,Marseille,48216.68,27712.68,12950.93,2019-07-26
78.54,29.99,68.42,87.95,Good,,Pre-5G,0.17,Hub,Marseille,44223.403333333335,29333.07,15342.185,2019-07-27
78.42,30.04,68.42,87.87,Good,,Pre-5G,0.01,Hub,Marseille,40230.12666666666,33127.46,17733.44,2019-07-28
78.3,30.06,68.43,87.8,Good,,Pre-5G,-0.14,Poor,Marseille,36236.85,20483.06,13018.19,2019-07-29
78.18,30.04,68.43,87.72,Good,,Pre-5G,0.14,Poor,Marseille,38188.21,9061.09,10143.53,2019-07-30
78.06,29.99,68.43,87.64,Good,,Pre-5G,0.22,Hub,Marseille,49734.29,13315.86,13804.4,2019-07-31
77.945,29.91,68.43,87.57,Good,,Pre-5G,-0.03,Hub,Marseille,43106.04,20773.19,11617.33,2019-08-01
77.83,29.8,68.44,87.49,Good,,Pre-5G,0.64,Good,Marseille,48918.71,26127.43,13257.81,2019-08-02
77.71,29.65,68.44,87.42,Good,,Pre-5G,-1.57,Limited,Marseille,58789.79,26790.56,14166.39,2019-08-03
77.6,29.48,68.44,87.35,Moderate,,Pre-5G,0.59,Hub,Marseille,59226.51,26539.08,14442.13,2019-08-04
77.49,29.27,68.44,87.27,Moderate,,Pre-5G,-0.48,Hub,Marseille,40252.19,20571.31,8612.91,2019-08-05
